Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 1500 episodes ...

episode: 0 	| explore_rate: 1.0 	| return: 8.885
episode: 10 	| explore_rate: 1.0 	| return: 12.507
episode: 20 	| explore_rate: 1.0 	| return: 11.646
episode: 30 	| explore_rate: 1.0 	| return: 6.542
episode: 40 	| explore_rate: 1.0 	| return: 8.275
episode: 50 	| explore_rate: 1.0 	| return: 14.246
episode: 60 	| explore_rate: 1.0 	| return: 10.029
episode: 70 	| explore_rate: 1.0 	| return: 13.369
episode: 80 	| explore_rate: 1.0 	| return: 8.855
episode: 90 	| explore_rate: 1.0 	| return: 14.085
episode: 100 	| explore_rate: 1.0 	| return: 0.0
episode: 110 	| explore_rate: 1.0 	| return: 5.871
episode: 120 	| explore_rate: 1.0 	| return: 8.731
episode: 130 	| explore_rate: 1.0 	| return: 0.0
episode: 140 	| explore_rate: 1.0 	| return: 9.26
episode: 150 	| explore_rate: 0.997 	| return: 11.394
episode: 160 	| explore_rate: 0.969 	| return: 10.179
episode: 170 	| explore_rate: 0.943 	| return: 12.141
episode: 180 	| explore_rate: 0.918 	| return: 6.904
episode: 190 	| explore_rate: 0.895 	| return: 11.222
episode: 200 	| explore_rate: 0.873 	| return: 0.0
episode: 210 	| explore_rate: 0.852 	| return: 13.82
episode: 220 	| explore_rate: 0.832 	| return: 12.935
episode: 230 	| explore_rate: 0.812 	| return: 0.0
episode: 240 	| explore_rate: 0.794 	| return: 11.139
episode: 250 	| explore_rate: 0.776 	| return: 13.75
episode: 260 	| explore_rate: 0.759 	| return: 17.064
episode: 270 	| explore_rate: 0.743 	| return: 12.274
episode: 280 	| explore_rate: 0.727 	| return: 15.925
episode: 290 	| explore_rate: 0.712 	| return: 15.571
episode: 300 	| explore_rate: 0.698 	| return: 13.224
episode: 310 	| explore_rate: 0.683 	| return: 16.385
episode: 320 	| explore_rate: 0.67 	| return: 10.165
episode: 330 	| explore_rate: 0.656 	| return: 12.239
episode: 340 	| explore_rate: 0.643 	| return: 16.152
episode: 350 	| explore_rate: 0.631 	| return: 12.699
episode: 360 	| explore_rate: 0.619 	| return: 0.0
episode: 370 	| explore_rate: 0.607 	| return: 12.002
episode: 380 	| explore_rate: 0.595 	| return: 13.812
episode: 390 	| explore_rate: 0.584 	| return: 11.45
episode: 400 	| explore_rate: 0.573 	| return: 0.0
episode: 410 	| explore_rate: 0.562 	| return: 0.0
episode: 420 	| explore_rate: 0.552 	| return: 12.925
episode: 430 	| explore_rate: 0.542 	| return: 16.617
episode: 440 	| explore_rate: 0.532 	| return: 16.356
episode: 450 	| explore_rate: 0.522 	| return: 15.073
episode: 460 	| explore_rate: 0.512 	| return: 16.123
episode: 470 	| explore_rate: 0.503 	| return: 15.23
episode: 480 	| explore_rate: 0.494 	| return: 14.375
episode: 490 	| explore_rate: 0.485 	| return: 16.545
episode: 500 	| explore_rate: 0.476 	| return: 14.578
episode: 510 	| explore_rate: 0.468 	| return: 16.331
episode: 520 	| explore_rate: 0.459 	| return: 11.289
episode: 530 	| explore_rate: 0.451 	| return: 13.886
episode: 540 	| explore_rate: 0.443 	| return: 15.698
episode: 550 	| explore_rate: 0.435 	| return: 16.389
episode: 560 	| explore_rate: 0.427 	| return: 16.514
episode: 570 	| explore_rate: 0.419 	| return: 0.0
episode: 580 	| explore_rate: 0.412 	| return: 16.493
episode: 590 	| explore_rate: 0.405 	| return: 14.923
episode: 600 	| explore_rate: 0.397 	| return: 13.3
episode: 610 	| explore_rate: 0.39 	| return: 15.863
episode: 620 	| explore_rate: 0.383 	| return: 16.46
episode: 630 	| explore_rate: 0.376 	| return: 12.357
episode: 640 	| explore_rate: 0.369 	| return: 13.846
episode: 650 	| explore_rate: 0.363 	| return: 0.0
episode: 660 	| explore_rate: 0.356 	| return: 0.0
episode: 670 	| explore_rate: 0.349 	| return: 14.468
episode: 680 	| explore_rate: 0.343 	| return: 15.299
episode: 690 	| explore_rate: 0.337 	| return: 15.822
episode: 700 	| explore_rate: 0.33 	| return: 15.759
episode: 710 	| explore_rate: 0.324 	| return: 16.538
episode: 720 	| explore_rate: 0.318 	| return: 13.68
episode: 730 	| explore_rate: 0.312 	| return: 15.516
episode: 740 	| explore_rate: 0.306 	| return: 16.499
episode: 750 	| explore_rate: 0.3 	| return: 14.253
episode: 760 	| explore_rate: 0.295 	| return: 16.396
episode: 770 	| explore_rate: 0.289 	| return: 14.885
episode: 780 	| explore_rate: 0.283 	| return: 13.866
episode: 790 	| explore_rate: 0.278 	| return: 16.137
episode: 800 	| explore_rate: 0.272 	| return: 16.437
episode: 810 	| explore_rate: 0.267 	| return: 13.986
episode: 820 	| explore_rate: 0.262 	| return: 14.625
episode: 830 	| explore_rate: 0.256 	| return: 16.477
episode: 840 	| explore_rate: 0.251 	| return: 16.142
episode: 850 	| explore_rate: 0.246 	| return: 15.354
episode: 860 	| explore_rate: 0.241 	| return: 15.576
episode: 870 	| explore_rate: 0.236 	| return: 0.0
episode: 880 	| explore_rate: 0.231 	| return: 15.613
episode: 890 	| explore_rate: 0.226 	| return: 0.0
episode: 900 	| explore_rate: 0.221 	| return: 15.561
episode: 910 	| explore_rate: 0.217 	| return: 16.314
episode: 920 	| explore_rate: 0.212 	| return: 16.209
episode: 930 	| explore_rate: 0.207 	| return: 15.051
episode: 940 	| explore_rate: 0.203 	| return: 15.09
episode: 950 	| explore_rate: 0.198 	| return: 16.409
episode: 960 	| explore_rate: 0.193 	| return: 15.237
episode: 970 	| explore_rate: 0.189 	| return: 14.099
episode: 980 	| explore_rate: 0.184 	| return: 16.227
episode: 990 	| explore_rate: 0.18 	| return: 14.517
episode: 1000 	| explore_rate: 0.176 	| return: 15.564
episode: 1010 	| explore_rate: 0.171 	| return: 15.871
episode: 1020 	| explore_rate: 0.167 	| return: 15.343
episode: 1030 	| explore_rate: 0.163 	| return: 16.366
episode: 1040 	| explore_rate: 0.159 	| return: 13.964
episode: 1050 	| explore_rate: 0.154 	| return: 16.104
episode: 1060 	| explore_rate: 0.15 	| return: 15.331
episode: 1070 	| explore_rate: 0.146 	| return: 15.345
episode: 1080 	| explore_rate: 0.142 	| return: 15.081
episode: 1090 	| explore_rate: 0.138 	| return: 14.058
episode: 1100 	| explore_rate: 0.134 	| return: 15.721
episode: 1110 	| explore_rate: 0.13 	| return: 15.344
episode: 1120 	| explore_rate: 0.126 	| return: 15.613
episode: 1130 	| explore_rate: 0.123 	| return: 15.174
episode: 1140 	| explore_rate: 0.119 	| return: 0.0
episode: 1150 	| explore_rate: 0.115 	| return: 16.227
episode: 1160 	| explore_rate: 0.111 	| return: 15.174
episode: 1170 	| explore_rate: 0.108 	| return: 16.038
episode: 1180 	| explore_rate: 0.104 	| return: 15.174
episode: 1190 	| explore_rate: 0.1 	| return: 15.174
episode: 1200 	| explore_rate: 0.097 	| return: 15.174
episode: 1210 	| explore_rate: 0.093 	| return: 14.839
episode: 1220 	| explore_rate: 0.089 	| return: 15.365
episode: 1230 	| explore_rate: 0.086 	| return: 15.127
episode: 1240 	| explore_rate: 0.082 	| return: 14.79
episode: 1250 	| explore_rate: 0.079 	| return: 16.354
episode: 1260 	| explore_rate: 0.075 	| return: 15.914
episode: 1270 	| explore_rate: 0.072 	| return: 15.753
episode: 1280 	| explore_rate: 0.069 	| return: 15.787
episode: 1290 	| explore_rate: 0.065 	| return: 15.018
episode: 1300 	| explore_rate: 0.062 	| return: 14.79
episode: 1310 	| explore_rate: 0.058 	| return: 15.174
episode: 1320 	| explore_rate: 0.055 	| return: 15.174
episode: 1330 	| explore_rate: 0.052 	| return: 15.235
episode: 1340 	| explore_rate: 0.049 	| return: 16.275
episode: 1350 	| explore_rate: 0.045 	| return: 15.421
episode: 1360 	| explore_rate: 0.042 	| return: 14.79
episode: 1370 	| explore_rate: 0.039 	| return: 14.729
episode: 1380 	| explore_rate: 0.036 	| return: 15.174
episode: 1390 	| explore_rate: 0.033 	| return: 15.174
episode: 1400 	| explore_rate: 0.03 	| return: 15.213
episode: 1410 	| explore_rate: 0.027 	| return: 15.174
episode: 1420 	| explore_rate: 0.023 	| return: 14.332
episode: 1430 	| explore_rate: 0.02 	| return: 15.174
episode: 1440 	| explore_rate: 0.017 	| return: 15.174
episode: 1450 	| explore_rate: 0.014 	| return: 15.174
episode: 1460 	| explore_rate: 0.011 	| return: 15.174
episode: 1470 	| explore_rate: 0.008 	| return: 15.174
episode: 1480 	| explore_rate: 0.006 	| return: 15.174
episode: 1490 	| explore_rate: 0.003 	| return: 15.174

Testing on agent with Q-table:
[[4.34548004 3.90937843 3.92832854 7.36175789 3.72058486]
 [0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.        ]
 ...
 [0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.        ]]

Learned Q-learning policy tested

e_return	t5p_first	tTiny_first	total_drug_in

12.162566102481394	604.2944531042266	1879.686663050334	1269.0
Done
