Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 3000 episodes ...

episode: 0 	| explore_rate: 1.0 	| return: 9.712
episode: 10 	| explore_rate: 1.0 	| return: 11.926
episode: 20 	| explore_rate: 1.0 	| return: 0.0
episode: 30 	| explore_rate: 1.0 	| return: 8.146
episode: 40 	| explore_rate: 1.0 	| return: 12.478
episode: 50 	| explore_rate: 1.0 	| return: 0.0
episode: 60 	| explore_rate: 1.0 	| return: 9.813
episode: 70 	| explore_rate: 1.0 	| return: 0.0
episode: 80 	| explore_rate: 1.0 	| return: 5.962
episode: 90 	| explore_rate: 1.0 	| return: 9.243
episode: 100 	| explore_rate: 1.0 	| return: 11.731
episode: 110 	| explore_rate: 1.0 	| return: 10.79
episode: 120 	| explore_rate: 1.0 	| return: 11.592
episode: 130 	| explore_rate: 1.0 	| return: 9.271
episode: 140 	| explore_rate: 1.0 	| return: 9.804
episode: 150 	| explore_rate: 1.0 	| return: 9.926
episode: 160 	| explore_rate: 1.0 	| return: 8.371
episode: 170 	| explore_rate: 1.0 	| return: 0.0
episode: 180 	| explore_rate: 1.0 	| return: 15.513
episode: 190 	| explore_rate: 1.0 	| return: 0.0
episode: 200 	| explore_rate: 1.0 	| return: 11.622
episode: 210 	| explore_rate: 1.0 	| return: 0.0
episode: 220 	| explore_rate: 1.0 	| return: 13.103
episode: 230 	| explore_rate: 1.0 	| return: 14.635
episode: 240 	| explore_rate: 1.0 	| return: 10.138
episode: 250 	| explore_rate: 1.0 	| return: 12.837
episode: 260 	| explore_rate: 1.0 	| return: 0.0
episode: 270 	| explore_rate: 1.0 	| return: 0.0
episode: 280 	| explore_rate: 1.0 	| return: 0.0
episode: 290 	| explore_rate: 1.0 	| return: 8.574
episode: 300 	| explore_rate: 0.999 	| return: 13.979
episode: 310 	| explore_rate: 0.984 	| return: 10.893
episode: 320 	| explore_rate: 0.971 	| return: 13.242
episode: 330 	| explore_rate: 0.957 	| return: 12.363
episode: 340 	| explore_rate: 0.944 	| return: 6.572
episode: 350 	| explore_rate: 0.932 	| return: 0.0
episode: 360 	| explore_rate: 0.92 	| return: 8.764
episode: 370 	| explore_rate: 0.908 	| return: 15.769
episode: 380 	| explore_rate: 0.896 	| return: 14.812
episode: 390 	| explore_rate: 0.885 	| return: 14.579
episode: 400 	| explore_rate: 0.874 	| return: 9.637
episode: 410 	| explore_rate: 0.863 	| return: 10.765
episode: 420 	| explore_rate: 0.853 	| return: 9.406
episode: 430 	| explore_rate: 0.843 	| return: 15.092
episode: 440 	| explore_rate: 0.833 	| return: 10.252
episode: 450 	| explore_rate: 0.823 	| return: 14.613
episode: 460 	| explore_rate: 0.813 	| return: 0.0
episode: 470 	| explore_rate: 0.804 	| return: 16.524
episode: 480 	| explore_rate: 0.795 	| return: 16.769
episode: 490 	| explore_rate: 0.786 	| return: 11.518
episode: 500 	| explore_rate: 0.777 	| return: 0.0
episode: 510 	| explore_rate: 0.769 	| return: 11.597
episode: 520 	| explore_rate: 0.76 	| return: 15.17
episode: 530 	| explore_rate: 0.752 	| return: 12.874
episode: 540 	| explore_rate: 0.744 	| return: 13.074
episode: 550 	| explore_rate: 0.736 	| return: 11.75
episode: 560 	| explore_rate: 0.728 	| return: 12.685
episode: 570 	| explore_rate: 0.72 	| return: 11.728
episode: 580 	| explore_rate: 0.713 	| return: 11.464
episode: 590 	| explore_rate: 0.706 	| return: 12.583
episode: 600 	| explore_rate: 0.698 	| return: 12.755
episode: 610 	| explore_rate: 0.691 	| return: 16.607
episode: 620 	| explore_rate: 0.684 	| return: 12.942
episode: 630 	| explore_rate: 0.677 	| return: 13.417
episode: 640 	| explore_rate: 0.67 	| return: 11.414
episode: 650 	| explore_rate: 0.664 	| return: 13.79
episode: 660 	| explore_rate: 0.657 	| return: 16.605
episode: 670 	| explore_rate: 0.65 	| return: 12.094
episode: 680 	| explore_rate: 0.644 	| return: 17.511
episode: 690 	| explore_rate: 0.638 	| return: 9.961
episode: 700 	| explore_rate: 0.631 	| return: 0.0
episode: 710 	| explore_rate: 0.625 	| return: 0.0
episode: 720 	| explore_rate: 0.619 	| return: 16.52
episode: 730 	| explore_rate: 0.613 	| return: 0.0
episode: 740 	| explore_rate: 0.607 	| return: 13.027
episode: 750 	| explore_rate: 0.601 	| return: 13.246
episode: 760 	| explore_rate: 0.596 	| return: 0.0
episode: 770 	| explore_rate: 0.59 	| return: 12.202
episode: 780 	| explore_rate: 0.584 	| return: 13.211
episode: 790 	| explore_rate: 0.579 	| return: 12.035
episode: 800 	| explore_rate: 0.573 	| return: 12.133
episode: 810 	| explore_rate: 0.568 	| return: 13.293
episode: 820 	| explore_rate: 0.563 	| return: 17.603
episode: 830 	| explore_rate: 0.558 	| return: 0.0
episode: 840 	| explore_rate: 0.552 	| return: 12.137
episode: 850 	| explore_rate: 0.547 	| return: 12.759
episode: 860 	| explore_rate: 0.542 	| return: 14.928
episode: 870 	| explore_rate: 0.537 	| return: 15.083
episode: 880 	| explore_rate: 0.532 	| return: 17.175
episode: 890 	| explore_rate: 0.527 	| return: 12.204
episode: 900 	| explore_rate: 0.522 	| return: 15.765
episode: 910 	| explore_rate: 0.518 	| return: 0.0
episode: 920 	| explore_rate: 0.513 	| return: 17.347
episode: 930 	| explore_rate: 0.508 	| return: 16.852
episode: 940 	| explore_rate: 0.504 	| return: 0.0
episode: 950 	| explore_rate: 0.499 	| return: 17.286
episode: 960 	| explore_rate: 0.494 	| return: 17.645
episode: 970 	| explore_rate: 0.49 	| return: 15.588
episode: 980 	| explore_rate: 0.485 	| return: 17.405
episode: 990 	| explore_rate: 0.481 	| return: 17.365
episode: 1000 	| explore_rate: 0.477 	| return: 14.181
episode: 1010 	| explore_rate: 0.472 	| return: 15.739
episode: 1020 	| explore_rate: 0.468 	| return: 13.896
