Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 1500 episodes ...

episode: 0 	| explore_rate: 1.0 	| return: 6.383
episode: 10 	| explore_rate: 1.0 	| return: 8.256
episode: 20 	| explore_rate: 1.0 	| return: 8.251
episode: 30 	| explore_rate: 1.0 	| return: 8.497
episode: 40 	| explore_rate: 1.0 	| return: 6.071
episode: 50 	| explore_rate: 1.0 	| return: 6.561
episode: 60 	| explore_rate: 1.0 	| return: 8.482
episode: 70 	| explore_rate: 1.0 	| return: 8.881
episode: 80 	| explore_rate: 1.0 	| return: 0.0
episode: 90 	| explore_rate: 1.0 	| return: 6.367
episode: 100 	| explore_rate: 1.0 	| return: 8.578
episode: 110 	| explore_rate: 1.0 	| return: 5.456
episode: 120 	| explore_rate: 1.0 	| return: 6.988
episode: 130 	| explore_rate: 1.0 	| return: 4.031
episode: 140 	| explore_rate: 1.0 	| return: 0.0
episode: 150 	| explore_rate: 0.997 	| return: 8.397
episode: 160 	| explore_rate: 0.969 	| return: 6.426
episode: 170 	| explore_rate: 0.943 	| return: 5.412
episode: 180 	| explore_rate: 0.918 	| return: 9.348
episode: 190 	| explore_rate: 0.895 	| return: 8.859
episode: 200 	| explore_rate: 0.873 	| return: 9.741
episode: 210 	| explore_rate: 0.852 	| return: 8.5
episode: 220 	| explore_rate: 0.832 	| return: 9.013
episode: 230 	| explore_rate: 0.812 	| return: 7.511
episode: 240 	| explore_rate: 0.794 	| return: 5.957
episode: 250 	| explore_rate: 0.776 	| return: 10.628
episode: 260 	| explore_rate: 0.759 	| return: 9.333
episode: 270 	| explore_rate: 0.743 	| return: 8.342
episode: 280 	| explore_rate: 0.727 	| return: 9.717
episode: 290 	| explore_rate: 0.712 	| return: 11.801
episode: 300 	| explore_rate: 0.698 	| return: 10.506
episode: 310 	| explore_rate: 0.683 	| return: 8.515
episode: 320 	| explore_rate: 0.67 	| return: 10.027
episode: 330 	| explore_rate: 0.656 	| return: 9.802
episode: 340 	| explore_rate: 0.643 	| return: 9.11
episode: 350 	| explore_rate: 0.631 	| return: 11.365
episode: 360 	| explore_rate: 0.619 	| return: 7.864
episode: 370 	| explore_rate: 0.607 	| return: 11.145
episode: 380 	| explore_rate: 0.595 	| return: 8.564
episode: 390 	| explore_rate: 0.584 	| return: 9.868
